city_name,country_code,rand_lat,rand_lng,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
inta,ru,65.83000000007974,60.11999999978161,66.04,60.13,60.9,53,0,4.43
victoria,sc,-4.419999999956218,55.31999999978598,-4.62,55.45,78.8,83,20,11.41
beira,mz,-19.619999999963994,36.45999999980313,-19.84,34.84,70.35,86,68,7.45
dakar,sn,14.450000000053436,-18.8100000001466,14.69,-17.45,80.6,74,20,6.93
geraldton,ca,53.700000000073516,-88.33000000008337,49.72,-86.95,73.4,49,75,5.82
domoni,km,-10.889999999959528,45.64999999979477,-12.26,44.53,78.9,100,0,13.27
faanui,pf,-11.639999999959912,-150.9700000000264,-16.48,-151.75,79.71,100,0,21.09
esperance,au,-33.379999999971034,120.53999999972666,-33.86,121.89,44.07,80,0,10.69
izumo,jp,37.360000000065156,131.62999999971657,35.37,132.75,75.2,83,20,3.36
guerrero negro,mx,20.860000000056715,-123.87000000005105,27.97,-114.04,82.59,45,0,9.13
luganville,vu,-16.73999999996252,164.28999999968687,-15.51,167.18,77.91,100,88,12.82
